"Latitude","Longitude","Family","Cover_Class","Number","Observation","Genus_species"
"35.23179","-115.794359","Asteraceae","Gravel","1","MJV14-17-BIO-VT-10,-3-1G","Baccharis salicina"
"35.23179","-115.794359","Ephedraceae","Gravel","1","MJV14-17-BIO-VT-10,-3-1G","Ephedra viridis"
"35.23179","-115.794359","Asteraceae","Gravel","1","MJV14-17-BIO-VT-10,-3-1G","Ericameria paniculata"
"35.23179","-115.794359","Polygonaceae","Gravel","1","MJV14-17-BIO-VT-10,-3-1G","Eriogonum fasciculatum"
"35.23179","-115.794359","Zygophyllaceae","Gravel","1","MJV14-17-BIO-VT-10,-3-1G","Larrea tridentata"
"35.23179","-115.794359","Zygophyllaceae","Gravel","1","MJV14-17-BIO-VT-10,-3-1G","Larra tridentata"
"35.231811","-115.79446","Ephedraceae","Live plant","1","MJV14-17-BIO-VT-10,-3-1H","Ephedra viridis"
"35.231811","-115.79446","Null","Live plant","TNTC","MJV14-17-BIO-VT-10,-3-1H","Unknown"
"35.231811","-115.79446","Solanaceae","Live plant","1","MJV14-17-BIO-VT-10,-3-1H","Lycium andersonii"
"35.231811","-115.79446","Poaceae","Live plant","TNTC","MJV14-17-BIO-VT-10,-3-1H","Unknown"
"35.23183","-115.79458","Ephedraceae","Dead plant","2","MJV14-17-BIO-VT-10,-3-1I","Ephedra viridis"
"35.23183","-115.79458","Agavaceae","Dead plant","1","MJV14-17-BIO-VT-10,-3-1I","Yucca schidigera"
"35.23183","-115.79458","Agavaceae","Dead plant","6","MJV14-17-BIO-VT-10,-3-1I","Yucca schidigera"
"35.231807","-115.794631","Poaceae","Gravel","TNTC","MJV14-17-BIO-VT-10,-3-1J","Bromus madritensis ssp. rubens"
"35.231807","-115.794631","Cactaceae","Gravel","1","MJV14-17-BIO-VT-10,-3-1J","Echinocereus engelmannii"
"35.231807","-115.794631","Ephedraceae","Gravel","1","MJV14-17-BIO-VT-10,-3-1J","Ephedra viridis"
"35.231807","-115.794631","Polygonaceae","Gravel","1","MJV14-17-BIO-VT-10,-3-1J","Eriogonum fasciculatum"
"35.231807","-115.794631","Poaceae","Gravel","1","MJV14-17-BIO-VT-10,-3-1J","Unknown"
"35.231882","-115.794645","Ephedraceae","Gravel","1","MJV14-17-BIO-VT-10,-3-2A","Ephedra viridis"
"35.231882","-115.794645","Null","Gravel","TNTC","MJV14-17-BIO-VT-10,-3-2A","Unknown"
"35.231843","-115.794562","Ephedraceae","Gravel","1","MJV14-17-BIO-VT-10,-3-2B","Ephedra viridis"
"35.231843","-115.794562","Zygophyllaceae","Gravel","1","MJV14-17-BIO-VT-10,-3-2B","Larrea tridentata"
"35.231843","-115.794562","Zygophyllaceae","Gravel","1","MJV14-17-BIO-VT-10,-3-2B","Larra tridentata"
"35.231843","-115.794562","Solanaceae","Gravel","1","MJV14-17-BIO-VT-10,-3-2B","Lycium andersonii"
"35.231843","-115.794562","Poaceae","Gravel","TNTC","MJV14-17-BIO-VT-10,-3-2B","Unknown"
"35.231888","-115.794421","Poaceae","Gravel","TNTC","MJV14-17-BIO-VT-10,-3-2C","Bromus madritensis ssp. rubens"
"35.231888","-115.794421","Zygophyllaceae","Gravel","1","MJV14-17-BIO-VT-10,-3-2C","Larrea tridentata"
"35.231888","-115.794421","Zygophyllaceae","Gravel","1","MJV14-17-BIO-VT-10,-3-2C","Larra tridentata"
"35.231849","-115.794288","Ephedraceae","Live plant","1","MJV14-17-BIO-VT-10,-3-2D","Ephedra viridis"
"35.231849","-115.794288","Cactaceae","Live plant","1","MJV14-17-BIO-VT-10,-3-2D","Ferocactus cylindraceus"
"35.231849","-115.794288","Zygophyllaceae","Live plant","1","MJV14-17-BIO-VT-10,-3-2D","Larrea tridentata"
"35.231849","-115.794288","Zygophyllaceae","Live plant","1","MJV14-17-BIO-VT-10,-3-2D","Larra tridentata"
"35.231849","-115.794288","Agavaceae","Live plant","1","MJV14-17-BIO-VT-10,-3-2D","Yucca schidigera"
"35.231849","-115.794288","Asteraceae","Live plant","1","MJV14-17-BIO-VT-10,-3-2E","Ambrosia dumosa"
"35.231849","-115.794288","Poaceae","Live plant","TNTC","MJV14-17-BIO-VT-10,-3-2E","Bromus madritensis ssp. rubens"
"35.231849","-115.794288","Ephedraceae","Live plant","1","MJV14-17-BIO-VT-10,-3-2E","Ephedra viridis"
"35.231849","-115.794288","Agavaceae","Live plant","3","MJV14-17-BIO-VT-10,-3-2E","Yucca schidigera"
"35.231876","-115.794006","Cactaceae","Dead plant","1","MJV14-17-BIO-VT-10,-3-2F","Cylindropuntia acanthocarpa"
"35.231876","-115.794006","Ephedraceae","Dead plant","1","MJV14-17-BIO-VT-10,-3-2F","Ephedra viridis"
"35.231876","-115.794006","Null","Dead plant","TNTC","MJV14-17-BIO-VT-10,-3-2F","Unknown"
"35.231857","-115.793867","Poaceae","Gravel","TNTC","MJV14-17-BIO-VT-10,-3-2G","Bromus madritensis ssp. rubens"
"35.231857","-115.793867","Polygonaceae","Gravel","1","MJV14-17-BIO-VT-10,-3-2G","Eriogonum fasciculatum"
"35.231857","-115.793867","Zygophyllaceae","Gravel","1","MJV14-17-BIO-VT-10,-3-2G","Larrea tridentata"
"35.231857","-115.793867","Zygophyllaceae","Gravel","1","MJV14-17-BIO-VT-10,-3-2G","Larra tridentata"
"35.231876","-115.793743","Poaceae","Gravel","TNTC","MJV14-17-BIO-VT-10,-3-2H","Bromus madritensis ssp. rubens"
"35.231876","-115.793743","Ephedraceae","Gravel","2","MJV14-17-BIO-VT-10,-3-2H","Ephedra viridis"
"35.231878","-115.794204","Poaceae","Granite","TNTC","MJV14-17-BIO-VT-10,-3-2I","Bromus madritensis ssp. rubens"
"35.231878","-115.794204","Polygonaceae","Granite","1","MJV14-17-BIO-VT-10,-3-2I","Eriogonum inflatum"
"35.231878","-115.794204","Poaceae","Granite","TNTC","MJV14-17-BIO-VT-10,-3-2I","Unknown"
"35.231882","-115.793606","Poaceae","Gravel","TNTC","MJV14-17-BIO-VT-10,-3-2J","Bromus madritensis ssp. rubens"
"35.231882","-115.793606","Poaceae","Gravel","2","MJV14-17-BIO-VT-10,-3-2J","Dasyochloa pulchella"
"35.231882","-115.793606","Zygophyllaceae","Gravel","1","MJV14-17-BIO-VT-10,-3-2J","Larrea tridentata"
"35.231882","-115.793606","Zygophyllaceae","Gravel","1","MJV14-17-BIO-VT-10,-3-2J","Larra tridentata"
"35.231998","-115.793594","Poaceae","Gravel","TNTC","MJV14-17-BIO-VT-10,-3-3A","Bromus madritensis ssp. rubens"
"35.231998","-115.793594","Ephedraceae","Gravel","1","MJV14-17-BIO-VT-10,-3-3A","Ephedra viridis"
"35.231998","-115.793594","Polygonaceae","Gravel","1","MJV14-17-BIO-VT-10,-3-3A","Eriogonum inflatum"
"35.231998","-115.793594","Poaceae","Gravel","TNTC","MJV14-17-BIO-VT-10,-3-3A","Unknown"
"35.231957","-115.793747","Poaceae","Gravel","TNTC","MJV14-17-BIO-VT-10,-3-3B","Bromus madritensis ssp. rubens"
"35.231957","-115.793747","Poaceae","Gravel","TNTC","MJV14-17-BIO-VT-10,-3-3B","Dasyochloa pulchella"
"35.231957","-115.793747","Polygonaceae","Gravel","1","MJV14-17-BIO-VT-10,-3-3B","Eriogonum fasciculatum"
"35.231957","-115.79388","Poaceae","Granite","TNTC","MJV14-17-BIO-VT-10,-3-3C","Bromus madritensis ssp. rubens"
"35.231957","-115.79388","Poaceae","Granite","TNTC","MJV14-17-BIO-VT-10,-3-3C","Unknown"
"35.231957","-115.79388","Agavaceae","Granite","6","MJV14-17-BIO-VT-10,-3-3C","Yucca schidigera"
"35.231969","-115.794027","Poaceae","Live plant","TNTC","MJV14-17-BIO-VT-10,-3-3D","Bromus madritensis ssp. rubens"
"35.231969","-115.794027","Poaceae","Live plant","3","MJV14-17-BIO-VT-10,-3-3D","Dasyochloa pulchella"
"35.231969","-115.794027","Ephedraceae","Live plant","10","MJV14-17-BIO-VT-10,-3-3D","Ephedra viridis"
"35.231969","-115.794027","Cactaceae","Live plant","1","MJV14-17-BIO-VT-10,-3-3D","Ferocactus cylindraceus"
"35.231985","-115.794073","Asteraceae","Live plant","3","MJV14-17-BIO-VT-10,-3-3E","Ambrosia dumosa"
"35.231985","-115.794073","Poaceae","Live plant","1","MJV14-17-BIO-VT-10,-3-3E","Bromus madritensis ssp. rubens"
"35.231985","-115.794073","Cactaceae","Live plant","1","MJV14-17-BIO-VT-10,-3-3E","Cylindropuntia ramosissima"
"35.231985","-115.794073","Ephedraceae","Live plant","1","MJV14-17-BIO-VT-10,-3-3E","Ephedra viridis"
"35.23198","-115.794192","Asteraceae","Gravel","1","MJV14-17-BIO-VT-10,-3-3F","Ambrosia dumosa"
"35.23198","-115.794192","Poaceae","Gravel","TNTC","MJV14-17-BIO-VT-10,-3-3F","Bromus madritensis ssp. rubens"
"35.23198","-115.794192","Zygophyllaceae","Gravel","1","MJV14-17-BIO-VT-10,-3-3F","Larrea tridentata"
"35.23198","-115.794192","Zygophyllaceae","Gravel","1","MJV14-17-BIO-VT-10,-3-3F","Larra tridentata"
"35.231984","-115.794259","Poaceae","Gravel","TNTC","MJV14-17-BIO-VT-10,-3-3G","Bromus madritensis ssp. rubens"
"35.231984","-115.794259","Polygonaceae","Gravel","1","MJV14-17-BIO-VT-10,-3-3G","Eriogonum fasciculatum"
"35.231984","-115.794259","Solanaceae","Gravel","1","MJV14-17-BIO-VT-10,-3-3G","Lycium andersonii"
"35.231984","-115.794259","Poaceae","Gravel","TNTC","MJV14-17-BIO-VT-10,-3-3G","Unknown"
"35.23198","-115.794417","Poaceae","Gravel","TNTC","MJV14-17-BIO-VT-10,-3-3H","Bromus madritensis ssp. rubens"
"35.23198","-115.794417","Poaceae","Gravel","1","MJV14-17-BIO-VT-10,-3-3H","Dasyochloa pulchella"
"35.23198","-115.794417","Zygophyllaceae","Gravel","1","MJV14-17-BIO-VT-10,-3-3H","Larrea tridentata"
"35.23198","-115.794417","Zygophyllaceae","Gravel","1","MJV14-17-BIO-VT-10,-3-3H","Larra tridentata"
"35.231971","-115.794542","Agavaceae","Gravel","8","MJV14-17-BIO-VT-10,-3-3I","Yucca schidigera"
"35.231959","-115.794649","Asteraceae","Granite","1","MJV14-17-BIO-VT-10,-3-3J","Ambrosia dumosa"
"35.231959","-115.794649","Poaceae","Granite","TNTC","MJV14-17-BIO-VT-10,-3-3J","Unknown"
"35.232051","-115.794649","Poaceae","Live plant","TNTC","MJV14-17-BIO-VT-10,-3-4A","Bromus madritensis ssp. rubens"
"35.232051","-115.794649","Ephedraceae","Live plant","1","MJV14-17-BIO-VT-10,-3-4A","Ephedra viridis"
"35.232051","-115.794649","Poaceae","Live plant","TNTC","MJV14-17-BIO-VT-10,-3-4A","Unknown"
"35.232051","-115.794649","Agavaceae","Live plant","4","MJV14-17-BIO-VT-10,-3-4A","Yucca schidigera"
"35.23206","-115.794528","Poaceae","Live plant","TNTC","MJV14-17-BIO-VT-10,-3-4B","Bromus madritensis ssp. rubens"
"35.23206","-115.794528","Polygonaceae","Live plant","1","MJV14-17-BIO-VT-10,-3-4B","Eriogonum fasciculatum"
"35.23206","-115.794528","Polygonaceae","Live plant","2","MJV14-17-BIO-VT-10,-3-4B","Eriogonum inflatum"
"35.23206","-115.794528","Poaceae","Live plant","TNTC","MJV14-17-BIO-VT-10,-3-4B","Unknown"
"35.23206","-115.794528","Agavaceae","Live plant","1","MJV14-17-BIO-VT-10,-3-4B","Yucca schidigera"
"35.232024","-115.794445","Poaceae","Gravel","TNTC","MJV14-17-BIO-VT-10,-3-4C","Bromus madritensis ssp. rubens"
"35.232024","-115.794445","Ephedraceae","Gravel","2","MJV14-17-BIO-VT-10,-3-4C","Ephedra viridis"
"35.232024","-115.794445","Polygonaceae","Gravel","1","MJV14-17-BIO-VT-10,-3-4C","Eriogonum inflatum"
"35.232024","-115.794445","Zygophyllaceae","Gravel","1","MJV14-17-BIO-VT-10,-3-4C","Larrea tridentata"
"35.232024","-115.794445","Zygophyllaceae","Gravel","1","MJV14-17-BIO-VT-10,-3-4C","Larra tridentata"
"35.232024","-115.794445","Poaceae","Gravel","TNTC","MJV14-17-BIO-VT-10,-3-4C","Unknown"
"35.232079","-115.794285","Poaceae","Live plant","TNTC","MJV14-17-BIO-VT-10,-3-4D","Bromus madritensis ssp. rubens"
"35.232079","-115.794285","Cactaceae","Live plant","1","MJV14-17-BIO-VT-10,-3-4D","Cylindropuntia acanthocarpa"
"35.232079","-115.794285","Solanaceae","Live plant","1","MJV14-17-BIO-VT-10,-3-4D","Lycium andersonii"
"35.232079","-115.794285","Poaceae","Live plant","TNTC","MJV14-17-BIO-VT-10,-3-4D","Unknown"
"35.232064","-115.794262","Poaceae","Gravel","TNTC","MJV14-17-BIO-VT-10,-3-4E","Bromus madritensis ssp. rubens"
"35.232064","-115.794262","Cactaceae","Gravel","1","MJV14-17-BIO-VT-10,-3-4E","Cylindropuntia acanthocarpa"
"35.232064","-115.794262","Poaceae","Gravel","1","MJV14-17-BIO-VT-10,-3-4E","Dasyochloa pulchella"
"35.232064","-115.794262","Ephedraceae","Gravel","1","MJV14-17-BIO-VT-10,-3-4E","Ephedra viridis"
"35.232064","-115.794262","Poaceae","Gravel","TNTC","MJV14-17-BIO-VT-10,-3-4E","Unknown"
"35.232037","-115.794113","Poaceae","Live plant","TNTC","MJV14-17-BIO-VT-10,-3-4F","Bromus madritensis ssp. rubens"
"35.232037","-115.794113","Zygophyllaceae","Live plant","1","MJV14-17-BIO-VT-10,-3-4F","Larrea tridentata"
"35.232037","-115.794113","Zygophyllaceae","Live plant","1","MJV14-17-BIO-VT-10,-3-4F","Larra tridentata"
"35.232037","-115.794113","Cactaceae","Live plant","1","MJV14-17-BIO-VT-10,-3-4F","Opuntia basilaris"
"35.232037","-115.794113","Poaceae","Live plant","TNTC","MJV14-17-BIO-VT-10,-3-4F","Unknown"
"35.232066","-115.79398","Asteraceae","Gravel","1","MJV14-17-BIO-VT-10,-3-4G","Ambrosia dumosa"
"35.232066","-115.79398","Cactaceae","Gravel","1","MJV14-17-BIO-VT-10,-3-4G","Cylindropuntia acanthocarpa"
"35.232066","-115.79398","Polygonaceae","Gravel","1","MJV14-17-BIO-VT-10,-3-4G","Eriogonum fasciculatum"
"35.232031","-115.793834","Ephedraceae","Gravel","1","MJV14-17-BIO-VT-10,-3-4H","Ephedra viridis"
"35.232031","-115.793834","Cactaceae","Gravel","1","MJV14-17-BIO-VT-10,-3-4H","Opuntia basilaris"
"35.232031","-115.793834","Poaceae","Gravel","TNTC","MJV14-17-BIO-VT-10,-3-4H","Unknown"
"35.231962","-115.793824","Asteraceae","Gravel","2","MJV14-17-BIO-VT-10,-3-4I","Ambrosia dumosa"
"35.231962","-115.793824","Poaceae","Gravel","TNTC","MJV14-17-BIO-VT-10,-3-4I","Bromus madritensis ssp. rubens"
"35.231962","-115.793824","Poaceae","Gravel","1","MJV14-17-BIO-VT-10,-3-4I","Dasyochloa pulchella"
"35.231962","-115.793824","Cactaceae","Gravel","2","MJV14-17-BIO-VT-10,-3-4I","Ferocactus cylindraceus"
"35.231962","-115.793824","Poaceae","Gravel","TNTC","MJV14-17-BIO-VT-10,-3-4I","Unknown"
"35.231963","-115.793695","Ephedraceae","Live plant","3","MJV14-17-BIO-VT-10,-3-4J","Ephedra viridis"
"35.231963","-115.793695","Polygonaceae","Live plant","1","MJV14-17-BIO-VT-10,-3-4J","Eriogonum fasciculatum"
"35.231963","-115.793695","Null","Live plant","3","MJV14-17-BIO-VT-10,-3-4J","Unknown"
"35.231963","-115.793695","Poaceae","Live plant","TNTC","MJV14-17-BIO-VT-10,-3-4J","Unknown"
"35.231963","-115.793695","Agavaceae","Live plant","1","MJV14-17-BIO-VT-10,-3-4J","Yucca schidigera"
"35.232029","-115.793579","Ephedraceae","Live plant","1","MJV14-17-BIO-VT-10,-3-5A","Ephedra viridis"
"35.232029","-115.793579","Polygonaceae","Live plant","1","MJV14-17-BIO-VT-10,-3-5A","Eriogonum fasciculatum"
"35.232029","-115.793579","Cactaceae","Live plant","3","MJV14-17-BIO-VT-10,-3-5A","Ferocactus cylindraceus"
"35.232029","-115.793579","Poaceae","Live plant","TNTC","MJV14-17-BIO-VT-10,-3-5A","Unknown"
"35.232029","-115.793579","Agavaceae","Live plant","6","MJV14-17-BIO-VT-10,-3-5A","Yucca schidigera"
"35.232065","-115.793654","Cactaceae","Gravel","1","MJV14-17-BIO-VT-10,-3-5B","Echinocereus engelmannii"
"35.232065","-115.793654","Ephedraceae","Gravel","1","MJV14-17-BIO-VT-10,-3-5B","Ephedra viridis"
"35.232065","-115.793654","Polygonaceae","Gravel","2","MJV14-17-BIO-VT-10,-3-5B","Eriogonum fasciculatum"
"35.232065","-115.793654","Polygonaceae","Gravel","2","MJV14-17-BIO-VT-10,-3-5B","Eriogonum inflatum"
"35.232065","-115.793654","Cactaceae","Gravel","2","MJV14-17-BIO-VT-10,-3-5B","Ferocactus cylindraceus"
"35.232065","-115.793654","Poaceae","Gravel","TNTC","MJV14-17-BIO-VT-10,-3-5B","Unknown"
"35.232085","-115.793802","Asteraceae","Gravel","1","MJV14-17-BIO-VT-10,-3-5C","Ambrosia dumosa"
"35.232085","-115.793802","Poaceae","Gravel","TNTC","MJV14-17-BIO-VT-10,-3-5C","Bromus madritensis ssp. rubens"
"35.232085","-115.793802","Ephedraceae","Gravel","1","MJV14-17-BIO-VT-10,-3-5C","Ephedra viridis"
"35.232085","-115.793802","Zygophyllaceae","Gravel","1","MJV14-17-BIO-VT-10,-3-5C","Larrea tridentata"
"35.232085","-115.793802","Zygophyllaceae","Gravel","1","MJV14-17-BIO-VT-10,-3-5C","Larra tridentata"
"35.232089","-115.793949","Asteraceae","Live plant","1","MJV14-17-BIO-VT-10,-3-5D","Ambrosia dumosa"
"35.232089","-115.793949","Cactaceae","Live plant","1","MJV14-17-BIO-VT-10,-3-5D","Cylindropuntia acanthocarpa"
"35.232089","-115.793949","Polygonaceae","Live plant","1","MJV14-17-BIO-VT-10,-3-5D","Eriogonum fasciculatum"
"35.232089","-115.793949","Null","Live plant","1","MJV14-17-BIO-VT-10,-3-5D","Unknown"
"35.232089","-115.793949","Poaceae","Live plant","1","MJV14-17-BIO-VT-10,-3-5D","Unknown"
"35.232084","-115.794017","Ephedraceae","Live plant","1","MJV14-17-BIO-VT-10,-3-5E","Ephedra viridis"
"35.232084","-115.794017","Polygonaceae","Live plant","1","MJV14-17-BIO-VT-10,-3-5E","Eriogonum fasciculatum"
"35.232084","-115.794017","Cactaceae","Live plant","1","MJV14-17-BIO-VT-10,-3-5E","Opuntia basilaris"
"35.232084","-115.794017","Poaceae","Live plant","1","MJV14-17-BIO-VT-10,-3-5E","Unknown"
"35.232085","-115.794166","Ephedraceae","Live plant","6","MJV14-17-BIO-VT-10,-3-5F","Ephedra viridis"
"35.232085","-115.794166","Cactaceae","Live plant","2","MJV14-17-BIO-VT-10,-3-5F","Ferocactus cylindraceus"
"35.232085","-115.794166","Null","Live plant","TNTC","MJV14-17-BIO-VT-10,-3-5F","Unknown"
"35.232085","-115.794166","Poaceae","Live plant","TNTC","MJV14-17-BIO-VT-10,-3-5F","Unknown"
"35.232058","-115.794339","Asteraceae","Live plant","1","MJV14-17-BIO-VT-10,-3-5G","Ericameria paniculata"
"35.232058","-115.794339","Solanaceae","Live plant","1","MJV14-17-BIO-VT-10,-3-5G","Lycium andersonii"
"35.232058","-115.794339","Poaceae","Live plant","TNTC","MJV14-17-BIO-VT-10,-3-5G","Unknown"
"35.232076","-115.794412","Cactaceae","Gravel","1","MJV14-17-BIO-VT-10,-3-5H","Echinocereus engelmannii"
"35.232076","-115.794412","Polygonaceae","Gravel","1","MJV14-17-BIO-VT-10,-3-5H","Eriogonum fasciculatum"
"35.232076","-115.794412","Solanaceae","Gravel","1","MJV14-17-BIO-VT-10,-3-5H","Lycium andersonii"
"35.232076","-115.794412","Poaceae","Gravel","TNTC","MJV14-17-BIO-VT-10,-3-5H","Unknown"
"35.232046","-115.794544","Ephedraceae","Live plant","1","MJV14-17-BIO-VT-10,-3-5I","Ephedra viridis"
"35.232046","-115.794544","Null","Live plant","2","MJV14-17-BIO-VT-10,-3-5I","Unknown"
"35.232046","-115.794544","Solanaceae","Live plant","2","MJV14-17-BIO-VT-10,-3-5I","Lycium andersonii"
"35.232046","-115.794544","Poaceae","Live plant","TNTC","MJV14-17-BIO-VT-10,-3-5I","Unknown"
"35.23204","-115.794652","Cactaceae","Gravel","1","MJV14-17-BIO-VT-10,-3-5J","Cylindropuntia ramosissima"
"35.23204","-115.794652","Polygonaceae","Gravel","1","MJV14-17-BIO-VT-10,-3-5J","Eriogonum fasciculatum"
"35.23204","-115.794652","Solanaceae","Gravel","1","MJV14-17-BIO-VT-10,-3-5J","Lycium andersonii"
"35.23204","-115.794652","Agavaceae","Gravel","1","MJV14-17-BIO-VT-10,-3-5J","Yucca schidigera"
"35.232167","-115.793579","Cactaceae","Gravel","1","MJV14-17-BIO-VT-10,-3-6A","Cylindropuntia ramosissima"
"35.232167","-115.793579","Ephedraceae","Gravel","2","MJV14-17-BIO-VT-10,-3-6A","Ephedra viridis"
"35.232167","-115.793579","Polygonaceae","Gravel","1","MJV14-17-BIO-VT-10,-3-6A","Eriogonum fasciculatum"
"35.232167","-115.793579","Poaceae","Gravel","TNTC","MJV14-17-BIO-VT-10,-3-6A","Unknown"
"35.232161","-115.793744","Asteraceae","Gravel","1","MJV14-17-BIO-VT-10,-3-6B","Ambrosia dumosa"
"35.232161","-115.793744","Cactaceae","Gravel","1","MJV14-17-BIO-VT-10,-3-6B","Echinocereus engelmannii"
"35.232161","-115.793744","Ephedraceae","Gravel","1","MJV14-17-BIO-VT-10,-3-6B","Ephedra viridis"
"35.232161","-115.793744","Polygonaceae","Gravel","1","MJV14-17-BIO-VT-10,-3-6B","Eriogonum fasciculatum"
"35.232161","-115.793744","Cactaceae","Gravel","1","MJV14-17-BIO-VT-10,-3-6B","Ferocactus cylindraceus"
"35.232161","-115.793744","Null","Gravel","1","MJV14-17-BIO-VT-10,-3-6B","Unknown"
"35.232161","-115.793744","Poaceae","Gravel","TNTC","MJV14-17-BIO-VT-10,-3-6B","Unknown"
"35.232161","-115.793744","Agavaceae","Gravel","5","MJV14-17-BIO-VT-10,-3-6B","Yucca schidigera"
"35.232175","-115.793867","Ephedraceae","Dead plant","2","MJV14-17-BIO-VT-10,-3-6C","Ephedra viridis"
"35.232175","-115.793867","Agavaceae","Dead plant","9","MJV14-17-BIO-VT-10,-3-6C","Yucca schidigera"
"35.232208","-115.793937","Asteraceae","Gravel","1","MJV14-17-BIO-VT-10,-3-6D","Ambrosia dumosa"
"35.232208","-115.793937","Asteraceae","Gravel","1","MJV14-17-BIO-VT-10,-3-6D","Ericameria paniculata"
"35.232207","-115.79405","Cactaceae","Dead plant","1","MJV14-17-BIO-VT-10,-3-6E","Echinocactus polycephalus"
"35.232207","-115.79405","Ephedraceae","Dead plant","2","MJV14-17-BIO-VT-10,-3-6E","Ephedra viridis"
"35.232207","-115.79405","Asteraceae","Dead plant","1","MJV14-17-BIO-VT-10,-3-6E","Ericameria paniculata"
"35.232207","-115.79405","Cactaceae","Dead plant","1","MJV14-17-BIO-VT-10,-3-6E","Ferocactus cylindraceus"
"35.232207","-115.79405","Poaceae","Dead plant","TNTC","MJV14-17-BIO-VT-10,-3-6E","Unknown"
"35.232207","-115.79405","Agavaceae","Dead plant","1","MJV14-17-BIO-VT-10,-3-6E","Yucca schidigera"
"35.232187","-115.794142","Cactaceae","Gravel","1","MJV14-17-BIO-VT-10,-3-6F","Cylindropuntia acanthocarpa"
"35.232187","-115.794142","Ephedraceae","Gravel","1","MJV14-17-BIO-VT-10,-3-6F","Ephedra viridis"
"35.232187","-115.794142","Poaceae","Gravel","TNTC","MJV14-17-BIO-VT-10,-3-6F","Unknown"
"35.232174","-115.794163","Asteraceae","Gravel","1","MJV14-17-BIO-VT-10,-3-6G","Baccharis salicina"
"35.232174","-115.794163","Cactaceae","Gravel","1","MJV14-17-BIO-VT-10,-3-6G","Cylindropuntia ramosissima"
"35.232174","-115.794163","Ephedraceae","Gravel","1","MJV14-17-BIO-VT-10,-3-6G","Ephedra viridis"
"35.232174","-115.794163","Solanaceae","Gravel","1","MJV14-17-BIO-VT-10,-3-6G","Lycium andersonii"
"35.232174","-115.794163","Cactaceae","Gravel","1","MJV14-17-BIO-VT-10,-3-6G","Opuntia basilaris"
"35.232177","-115.794264","Asteraceae","Gravel","4","MJV14-17-BIO-VT-10,-3-6H","Baccharis salicina"
"35.232177","-115.794264","Cactaceae","Gravel","1","MJV14-17-BIO-VT-10,-3-6H","Cylindropuntia acanthocarpa"
"35.232177","-115.794264","Ephedraceae","Gravel","1","MJV14-17-BIO-VT-10,-3-6H","Ephedra viridis"
"35.232177","-115.794264","Poaceae","Gravel","TNTC","MJV14-17-BIO-VT-10,-3-6H","Unknown"
"35.232167","-115.794533","Asteraceae","Live plant","3","MJV14-17-BIO-VT-10,-3-6I","Baccharis salicina"
