Observation #,Easting,Northing,GPS #,Waypoint,Photo,Camera,Cover Class,Incline,Family,Identify Plant,Match Found?,Match Status?,genus,species,LAT,LONG,Number,Number Total (vascular),Number Unique,Plant Description,Abstract,Team,Correct ID,Notes,QC
"MJV1-14-BIO-VT-1,1-7F",608834.00 m E,3899708.00 m N,,,Mjv114_bio_vt_kjs_bromus_madritensis_rubens.jpg,,Gravel (2-50mm),~28°,Poaceae,Bromus Madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 4.325""","-115° 48' 14.136""",5,12,5,"Red Brome, grass, non-native invasive species","Sunny day, little wind","Fisher, Macias, Baughman",,,
"MJV1-14-BIO-VT-1,1-8B",608845.47 m E,3899697.97 m N,,,Mjv114_bio_vt_kjs_bromus_madritensis_rubens.jpg,,Gravel (2-50mm),0,Poaceae,Bromus Madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 3.995""","-115° 48' 13.687""",1,6,6,"Red Brome, grass, non-native invasive species","Sunny day, little wind","Fisher, Macias, Baughman",,,
"MJV1-14-BIO-VT-1,1-8D",608844.85 m E,3899703.73 m N,,,Mjv114_bio_vt_kjs_bromus_madritensis_rubens.jpg,,Rock (>50mm),~22°,Poaceae,Bromus Madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 4.182""","-115° 48' 13.709""",1,3,3,"Red Brome, grass, non-native invasive species","Sunny day, little wind","Fisher, Macias, Baughman",,,
"MJV1-14-BIO-VT-1,1-8E",608844.85 m E,3899703.73 m N,,,Mjv114_bio_vt_kjs_bromus_madritensis_rubens.jpg,,Rock (>50mm),~24°,Poaceae,Bromus Madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 4.182""","-115° 48' 13.709""",16,19,3,"Red Brome, grass, non-native invasive species","Sunny day, little wind","Fisher, Macias, Baughman",,,
"MJV1-14-BIO-VT-1,1-9A",608858.59 m E,3899696.58 m N,,,"MJV1-14-BIO-VT-1,1-9A",,Sand (<2mm),0,Poaceae,Bromus Madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 3.945""","-115° 48' 13.169""",7,10,4,"Red Brome, grass, non-native invasive species","Sandy stream channel, few cobbles","Espericueta, Rodriguez",,,
"MJV1-14-BIO-VT-4,4-1C",609116.62 m E,3900019.49 m N,,,Mjv114_bio_vt_kjs_bromus_madritensis_rubens.jpg,,Rock (>50mm),~43°,Poaceae,Bromus Madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 14.323""","-115° 48' 2.808""",1,3,5,"Red Brome, grass, non-native invasive species","Partly sunny/cloudy day, strong, cold winds","Fisher, Macias, Baughman",,,
"MJV1-14-BIO-VT-4,4-1D",609118.66 m E,3900016.18 m N,,,Mjv114_bio_vt_kjs_bromus_madritensis_rubens.jpg,,Rock (>50mm),~46°,Poaceae,Bromus Madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 14.215""","-115° 48' 2.729""",1,5,5,"Red Brome, grass, non-native invasive species","Partly sunny/cloudy day, strong, cold winds","Fisher, Macias, Baughman",,,
"MJV1-14-BIO-VT-4,4-1E",609121.06 m E,3900013.55 m N,,,Mjv114_bio_vt_kjs_bromus_madritensis_rubens.jpg,,Rock (>50mm),~25°,Poaceae,Bromus Madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 14.129""","-115° 48' 2.635""",12,20,6,"Red Brome, grass, non-native invasive species","Partly sunny/cloudy day, strong, cold winds","Fisher, Macias, Baughman",,,
"MJV1-14-BIO-VT-4,4-1F",609119.70 m E,3900013.20 m N,,,Mjv114_bio_vt_kjs_bromus_madritensis_rubens.jpg,,Rock/Litter,~32°,Poaceae,Bromus Madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 14.118""","-115° 48' 2.689""",>20,>28,8,"Juvenile Red Brome, grass, non-native invasive species","Partly sunny/cloudy day, strong, cold winds","Fisher, Macias, Baughman",,,
"MJV1-14-BIO-VT-4,4-1G",609121.07 m E,3900012.00 m N,,,Mjv114_bio_vt_kjs_bromus_madritensis_rubens.jpg,,Gravel (2-50mm),~38°,Poaceae,Bromus Madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 14.079""","-115° 48' 2.635""",~50,~56,5,"Red Brome, grass, non-native invasive species","Partly sunny/cloudy day, strong, cold winds","Fisher, Macias, Baughman",,,
"MJV1-14-BIO-VT-4,4-1H",609124.26 m E,3900011.70 m N,,,Mjv114_bio_vt_kjs_bromus_madritensis_rubens.jpg,,Rock (>50mm),~32°,Poaceae,Bromus Madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 14.068""","-115° 48' 2.509""",~50,~56,5,"Red Brome, grass, non-native invasive species","Partly sunny/cloudy day, strong, cold winds","Fisher, Macias, Baughman",,,
"MJV1-14-BIO-VT-4,4-1I",609121.57 m E,3900016.22 m N,,,Mjv114_bio_vt_kjs_bromus_madritensis_rubens.jpg,,Rock (>50mm),~30°,Poaceae,Bromus Madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 14.215""","-115° 48' 2.614""",2,3,2,"Red Brome, grass, non-native invasive species","Partly sunny/cloudy day, strong, cold winds","Fisher, Macias, Baughman",,,
"MJV1-14-BIO-VT-4,4-1J",609125.78 m E,3900006.95 m N,,,Mjv114_bio_vt_kjs_bromus_madritensis_rubens.jpg,,Gravel (2-50mm),~27°,Poaceae,Bromus Madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 13.913""","-115° 48' 2.451""",>50,>55,4,"Red Brome, grass, non-native invasive species","Partly sunny/cloudy day, strong, cold winds","Fisher, Macias, Baughman",,,
"MJV1-14-BIO-VT-4,4-2C",609127.16 m E,3900028.04 m N,,,"MJV1-14-BIO-VT-4,4-2C",,Gravel (2-50mm),~4°,Poaceae,Bromus Madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 14.597""","-115° 48' 2.387""",~54,~129,3,"Red Brome, grass, non-native invasive species, no flowers at all","Gravelly with slight incline, some cobbles (basalt and granitic)","Espericueta, Rodriguez",,,
"MJV1-14-BIO-VT-4,4-2D",609129.29 m E,3900024.63 m N,,,"MJV1-14-BIO-VT-4,4-2D",,Rock,~8°,Poaceae,Bromus Madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 14.485""","-115° 48' 2.304""",~25,~40,6,"Red Brome, grass, non-native invasive species","Large granitic boulders and basaltic cobbles, gravelly granitic substrate","Espericueta, Rodriguez",,,
"MJV1-14-BIO-VT-4,4-2E",609128.39 m E,3900023.84 m N,,,"MJV1-14-BIO-VT-4,4-2E",,Rock,~12°,Poaceae,Bromus Madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 14.460""","-115° 48' 2.340""",33,55,4,Red Brome,Gravelly granitic slope with numerous angular basaltic cobbles,"Espericueta, Rodriguez",,,
"MJV1-14-BIO-VT-4,4-2F",609131.81 m E,3900019.67 m N,,,"MJV1-14-BIO-VT-4,4-2F",,Gravel (2-50mm),~15°,Poaceae,Bromus Madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 14.323""","-115° 48' 2.207""",16,22,6,Red Brome,"Gravelly granitic slope, few angular cobbles","Espericueta, Rodriguez",,,
"MJV1-14-BIO-VT-4,4-2G",609133.40 m E,3900016.25 m N,,,"MJV1-14-BIO-VT-4,4-2G",,Gravel (2-50mm),~9°,Poaceae,Bromus Madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 14.212""","-115° 48' 2.146""",~60,~75,6,Red Brome,Gravelly granitic slope with numerous angular cobbles and small boulders,"Espericueta, Rodriguez",,,
"MJV1-14-BIO-VT-4,4-2H",609134.79 m E,3900014.05 m N,,,"MJV1-14-BIO-VT-4,4-2H",,Rock,~5°,Poaceae,Bromus Madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 14.140""","-115° 48' 2.092""",~30,~36,5,Red Brome,Cobbles with gravel beneath,"Espericueta, Rodriguez",,,
"MJV1-14-BIO-VT-4,4-2I",609135.15 m E,3900014.16 m N,,,"MJV1-14-BIO-VT-4,4-2I",,Rock,~11°,Poaceae,Bromus Madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 14.143""","-115° 48' 2.077""",9,12,4,Red Brome,"Angular basaltic boulders, smaller pebbles-cobbles, indurated substrate","Espericueta, Rodriguez",,,
"MJV1-14-BIO-VT-4,4-2J",609135.20 m E,3900010.61 m N,,,"MJV1-14-BIO-VT-4,4-2J",,Rock,~13°,Poaceae,Bromus Madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 14.028""","-115° 48' 2.077""",~10,~13,3,Red Brome,"Rocky slope, angular basalt under indurated granitic gravel with larger rounded granitic boulder","Espericueta, Rodriguez",,,
"MJV1-14-BIO-VT-4,4-5E",609165.60 m E,3900047.92 m N,,,Mjv114_bio_vt_kjs_bromus_madritensis_rubens.jpg,,Gravel (2-50mm),~19°,Poaceae,Bromus Madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 15.227""","-115° 48' 0.857""",3,34,4,"Red Brome, grass, non-native invasive species","Partly sunny/cloudy day, strong, cold winds","Fisher, Macias, Baughman",,,
"MJV1-14-BIO-VT-4,4-5G",609168.62 m E,3900053.61 m N,,,Mjv114_bio_vt_kjs_bromus_madritensis_rubens.jpg,,Gravel (2-50mm),~22°,Poaceae,Bromus Madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 15.410""","-115° 48' 0.735""",5,14,3,"Red Brome, grass, non-native invasive species","Partly sunny/cloudy day, strong, cold winds","Fisher, Macias, Baughman",,,
"MJV1-14-BIO-VT-4,4-5H",609170.97 m E,3900055.08 m N,,,Mjv114_bio_vt_kjs_bromus_madritensis_rubens.jpg,,Gravel (2-50mm),~30°,Poaceae,Bromus Madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 15.457""","-115° 48' 0.641""",1,4,4,"Red Brome, grass, non-native invasive species","Partly sunny/cloudy day, strong, cold winds","Fisher, Macias, Baughman",,,
"MJV3-15-BIO-VT-2,1-A",608899.54 m E,3899711.60 m N,2,19,"2,1A",B. Rodriquez,Rock,N/A,Poaceae,Bromus madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 4.416""","-115° 48' 11.542""",20,41,5,Red Brome grass,pebbles and cobbles + 2 boulders,Yamaguchi & Rodriquez,Y,,SM
"MJV3-15-BIO-VT-2,1-2D",608907.45 m E,3899719.68 m N,2,21,"2,1-2D",B. Rodriquez,Rock,N/A,Poaceae,Bromus madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 4.675""","-115° 48' 11.225""",7,11,3,Red Brome grass,,Yamaguchi & Rodriquez,Y,,SM
"MJV3-15-BIO-VT-2,1-2B",608899.28 m E,3899718.25 m N,2,23,"2,1-2B",B. Rodriquez,Plant,N/A,Poaceae,Bromus madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 4.632""","-115° 48' 11.549""",11,16,3,Red Brome grass,,Yamaguchi & Rodriquez,Y,,SM
"MJV3-15-BIO-VT-2,1-2A",608895.12 m E,3899716.32 m N,2,24,"2,1-2A",B. Rodriquez,Litter,N/A,Poaceae,Bromus madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 4.571""","-115° 48' 11.714""",3,6,3,Red Brome grass,,Yamaguchi & Rodriquez,Y,,SM
"MJV3-15-BIO-VT-2,1-3E",608908.99 m E,3899727.80 m N,2,25,"2,1-3E",B. Rodriquez,Rock,N/A,Poaceae,Bromus madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 4.938""","-115° 48' 11.160""",51,5,2,Red Brome grass,,Yamaguchi & Rodriquez,Y,,SM
"MJV3-15-BIO-VT-2,1-3D",608904.92 m E,3899726.42 m N,2,26,"2,1-3D",B. Rodriquez,Plant,N/A,Poaceae,Bromus madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 4.895""","-115° 48' 11.322""",3,8,5,Red brome grass,,Yamaguchi & Rodriquez,Y,,SM
"MJV3-15-BIO-VT-2,1-2B",608896.56 m E,3899724.88 m N,2,28,"2,1-3B",B. Rodriquez,Rock,N/A,Poaceae,Bromus madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 4.848""","-115° 48' 11.653""",2,3,2,Red Brome grass,,Yamaguchi & Rodriquez,Y,,SM
"MJV3-15-BIO-VT-2,1-8C",608887.63 m E,3899778.68 m N,2,49,"2,1-8C",B. Rodriquez,Rock,N/A,Poaceae,Bromus madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 6.598""","-115° 48' 11.981""",3,4,2,Red Brome grass,,Yamaguchi & Rodriquez,Y,,SM
"MJV3-15-BIO-VT-2,1-8A",608880.76 m E,3899775.27 m N,2,52,"2,1-8A",B. Rodriquez,Rock,N/A,Poaceae,Bromus madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 6.490""","-115° 48' 12.254""",30,33,2,Red Brome grass,,Yamaguchi & Rodriquez,Y,,SM
"MJV3-15-BIO-VT-2,1-9E",608893.54 m E,3899787.18 m N,2,55,"2,1-9E",B. Rodriquez,Rock,N/A,Poaceae,Bromus madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 6.871""","-115° 48' 11.743""",15,16,2,Red Brome grass,,Yamaguchi & Rodriquez,,,
"MJV3-15-BIO-VT-2,1-9C",608886.30 m E,3899783.43 m N,2,59,"2,1-9C",B. Rodriquez,Rock,N/A,Poaceae,Bromus madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 6.752""","-115° 48' 12.031""",40,45,4,Red Brome grass,,Yamaguchi & Rodriquez,Y,,SM
"MJV3-15-BIO-VT-2,1-9B",608883.12 m E,3899782.95 m N,2,60,"2,1-9B",B. Rodriquez,Plant,N/A,Poaceae,Bromus madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 6.738""","-115° 48' 12.157""",1,25,5,Red Brome grass,cover,Yamaguchi & Rodriquez,Y,,SM
"MJV3-15-BIO-VT-2,1-9A",608879.50 m E,3899781.46 m N,2,63,"2,1-9A",B. Rodriquez,Rock,N/A,Poaceae,Bromus madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 6.691""","-115° 48' 12.301""",40,47,3,Red Brome grass,,Yamaguchi & Rodriquez,Y,,SM
"MJV3-15-BIO-VT-2,1-10A",608880.78 m E,3899795.90 m N,2,65,"2,1-10A",B. Rodriquez,Plant,N/A,Poaceae,Bromus madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 7.159""","-115° 48' 12.244""",10,42,4,Red Brome grass,,Yamaguchi & Rodriquez,Y,,SM
"MJV3-15-BIO-VT-2,1-10E",608899.28 m E,3899808.99 m N,2,68,"2,1-10E",B. Rodriquez,Rock,N/A,Poaceae,Bromus madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 7.577""","-115° 48' 11.506""",12,26,4,Red Brome grass,,Yamaguchi & Rodriquez,Y,,SM
"MJV3-15-BIO-VT-7,3-10A",609423.00 m E,3899907.00 m N,2,110,"7,3-10A",B. Rodriquez,Rock,N/A,Poaceae,Bromus madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 10.552""","-115° 47' 50.742""",70,71,4,Red Brome grass,,Yamaguchi & Rodriquez,Y,,SM
"MJV3-15-BIO-VT-2,1-1G",608918.07 m E,3899714.49 m N,1,13,5-Mar,M. Reyes,Rock,N/A,Poaceae,Bromus madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 4.503""","-115° 48' 10.807""",2,5,4,Red Brome grass,"Basalt and granite boulder, some gravel",Espericueta & Reyes,,,
"MJV3-15-BIO-VT-2,1-1H",608919.53 m E,3899714.39 m N,1,14,8-Jun,M. Reyes,Rock,N/A,Poaceae,Bromus madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 4.499""","-115° 48' 10.750""",~30,~31,2,Red Brome grass,"Plant litter, some granite and basalt boulders, some gravel",Espericueta & Reyes,,,
"MJV3-15-BIO-VT-2,1-1I",608925.62 m E,3899714.80 m N,1,15,12-Sep,D. Espericueta,Gravel,N/A,Poaceae,Bromus madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 4.510""","-115° 48' 10.509""",~10,~32,4,Red Brome grass,"Some basalt and granite boulders, some reddish boulders, some gravel",Espericueta & Reyes,,,
"MJV3-15-BIO-VT-2,1-2F",608911.02 m E,3899718.39 m N,1,17,15-17,D. Espericueta,Live Plant,N/A,Poaceae,Bromus madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 4.632""","-115° 48' 11.084""",Numerous,~5+,4,Red Brome grass,Some gravel,Espericueta & Reyes,Y,,MH
"MJV3-15-BIO-VT-2,1-2G",608918.35 m E,3899721.48 m N,1,18,18-19,D. Espericueta,Rock,N/A,Poaceae,Bromus madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 4.729""","-115° 48' 10.793""",~15,~17,3,Red Brome grass,"Numerous basalt and granite rocks, gravel",Espericueta & Reyes,,,
"MJV3-15-BIO-VT-2,1-2H",608921.89 m E,3899722.74 m N,1,19,"20,21",D. Espericueta,Gravel,N/A,Poaceae,Bromus madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 4.769""","-115° 48' 10.652""",~10,~12,3,Red Brome grass,"Some gravel, basalt and granite rocks",Espericueta & Reyes,,,
"MJV3-15-BIO-VT-2,1-2I",608924.16 m E,3899723.43 m N,1,20,"22,23",D. Espericueta,Rock,N/A,Poaceae,Bromus madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 4.790""","-115° 48' 10.562""",1,3,2,Red Brome grass,"Basalt and granite rocks, gravel, plant litter",Espericueta & Reyes,,,
"MJV3-15-BIO-VT-2,1-3F",608914.06 m E,3899730.52 m N,1,22,27-30,D. Espericueta,Rock,N/A,Poaceae,Bromus madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 5.024""","-115° 48' 10.958""",~20,~23,4,Red Brome grass,"Basalt and granite rocks, gravel, plant litter",Espericueta & Reyes,,,
"MJV3-15-BIO-VT-2,1-3G",608918.32 m E,3899732.02 m N,1,23,"31,32",D. Espericueta,Rock,N/A,Poaceae,Bromus madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 5.071""","-115° 48' 10.789""",~20,~25,3,Red Brome grass,"Spider web - light, airy web; gravel, granite rocks",Espericueta & Reyes,,,
"MJV3-15-BIO-VT-2,1-3H",608921.60 m E,3899731.39 m N,1,24,"33,34",D. Espericueta,Gravel,N/A,Poaceae,Bromus madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 5.050""","-115° 48' 10.660""",4,10,3,Red Brome grass,"Gravel, large granite rocks",Espericueta & Reyes,,,
"MJV3-15-BIO-VT-2,1-3I",608927.51 m E,3899732.35 m N,1,25,"35,36",D. Espericueta,Rock,N/A,Poaceae,Bromus madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 5.078""","-115° 48' 10.425""",~5,~8,3,Red Brome grass,"Large granite rock, small basalt and granite rocks",Espericueta & Reyes,,,
"MJV3-15-BIO-VT-2,1-3J",608933.69 m E,3899732.98 m N,1,26,37-39,D. Espericueta,Rock,N/A,Poaceae,Bromus madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 5.096""","-115° 48' 10.181""",~5,~9,4,Red Brome grass,"Boulder, gravel, basalt and granite rocks, litter",Espericueta & Reyes,,,
"MJV3-15-BIO-VT-2,1-7F",608899.59 m E,3899767.95 m N,2,30,"40,41",D. Espericueta,Rock,N/A,Poaceae,Bromus madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 6.245""","-115° 48' 11.513""",10,12,2,Red Brome grass,,Espericueta & Reyes,,,
"MJV3-15-BIO-VT-2,1-9F",608901.74 m E,3899786.17 m N,2,54,"71,72",D. Espericueta,Rock,N/A,Poaceae,Bromus madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 6.835""","-115° 48' 11.419""",5,10,3,Red Brome grass,,Espericueta & Reyes,,,
"MJV3-15-BIO-VT-2,1-10B",608887.92 m E,3899799.87 m N,2,64,"85,86",D. Espericueta,Plant,N/A,Poaceae,Bromus madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 7.285""","-115° 48' 11.959""",100,102,3,Red Brome grass,,Espericueta & Reyes,,,
"MJV3-15-BIO-VT-2,1-10D",608896.94 m E,3899806.63 m N,2,67,"100,101",D. Espericueta,Rock,N/A,Poaceae,Bromus madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 7.501""","-115° 48' 11.599""",20,22,3,Red Brome grass,,Espericueta & Reyes,,,
"MJV3-15-BIO-VT-2,1-10F",608903.63 m E,3899810.26 m N,2,69,"102,103",D. Espericueta,,N/A,Poaceae,Bromus madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 7.616""","-115° 48' 11.333""",100,102,3,Red Brome grass,,Espericueta & Reyes,,,
"MJV3-15-BIO-VT-3,2-6C",609029.87 m E,3899847.06 m N,1,52,20-22,,Gravel,N/A,Poaceae,Bromus madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 8.761""","-115° 48' 6.322""",1,11,5,Red Brome grass,,Espericueta & Reyes,,,
"MJV3-15-BIO-VT-3,2-6D",609028.49 m E,3899841.38 m N,1,51,"23,24",,,N/A,Poaceae,Bromus madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 8.577""","-115° 48' 6.379""",20,21,2,Red Brome grass,,Espericueta & Reyes,,,
"MJV3-15-BIO-VT-3,2-2B",608982.95 m E,3899844.39 m N,1,54,27-29,,Rock,N/A,Poaceae,Bromus madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 8.693""","-115° 48' 8.179""",15,17,3,Red Brome grass,litter,Espericueta & Reyes,,,
"MJV3-15-BIO-VT-3,2-2C",608985.68 m E,3899836.32 m N,1,55,"30,31",,Rock,N/A,Poaceae,Bromus madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 8.430""","-115° 48' 8.075""",13,17,4,Red Brome grass,,Espericueta & Reyes,,,
"MJV3-15-BIO-VT-3,2-3A",608993.79 m E,3899850.40 m N,1,59,"38,39",,Rock,N/A,Poaceae,Bromus madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 8.884""","-115° 48' 7.747""",1,5,4,Red Brome grass,litter,Espericueta & Reyes,,,
"MJV3-15-BIO-VT-3,2-3B",608994.04 m E,3899852.84 m N,1,60,"40,41",,Plant,N/A,Poaceae,Bromus madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 8.963""","-115° 48' 7.736""",1,4,4,Red Brome grass,,Espericueta & Reyes,,,
"MJV3-15-BIO-VT-3,2-3C",608993.67 m E,3899852.72 m N,1,61,42-44,,Boulder,N/A,Poaceae,Bromus madritensis ssp. Rubens,Yes,Keep,Bromus,madritensis,"35° 14' 8.959""","-115° 48' 7.751""",60,63,3,Red Brome grass,,Espericueta & Reyes,,,
