Object_ID,Observation #,GPS #,Waypoint #,Latitude,Longitude,Team,Photo_ID,Cover Class,Average_Slope,Common Name,Family,Genius_Species,Number,Total_Vascular_No_Grasses,Number_Unique,Abstract_Notes,Correct ID?,Notes,,,,,,,,,
11,"MJV4-15-BIO-VT-6,5-2C",2,194,35.238704,-115.798686,Rodriquez/Baughman,548,Live Plant,N/A,Unknown 2A,Null ,Null,1,,,"White stem, woody shrub, small compound leaves, violet flowers",,,,,,,,,,,
12,"MJV4-15-BIO-VT-6,5-2C",2,194,35.238704,-115.798686,Rodriquez/Baughman,547,Live Plant,N/A,Mojave popcorn flower,Boraginaceae,Plagiobothrys jonesii,2,,,Popcorn flower,,,,,,,,,,,
13,"MJV4-15-BIO-VT-6,5-2C",2,194,35.238704,-115.798686,Rodriquez/Baughman,547,Live Plant,N/A,Unknown 15A,Null ,Null,3,,,,,,,,,,,,,,
14,"MJV4-15-BIO-VT-6,5-2C",2,194,35.238704,-115.798686,Rodriquez/Baughman,549,Live Plant,N/A,Strigose lotus,Fabaceae,Acmispon strigosus,1,,,Strigose Lotus,Y,Unknown 22A,,legume with small yellow flowers,,,,,,,
15,"MJV4-15-BIO-VT-6,5-2C",2,194,35.238704,-115.798686,Rodriquez/Baughman,550,Live Plant,N/A,Low woollygrass,Poaceae,Dasyochloa pulchella,1,,,Low woolly grass,Y,Unknown 23A,,,,,,,,,
16,"MJV4-15-BIO-VT-6,5-2D",2,195,35.238739,-115.798631,Rodriquez/Baughman,551,Live Plant,N/A,Low woollygrass,Poaceae,Dasyochloa pulchella,9,,,Low woolly grass,Y,,,,,,,,,,
17,"MJV4-15-BIO-VT-6,5-2D",2,195,35.238739,-115.798631,Rodriquez/Baughman,551,Live Plant,N/A,Mojave popcorn flower,Boraginaceae,Plagiobothrys jonesii,7,,,Desert Popcorn,Y,,,,,,,,,,
18,"MJV4-15-BIO-VT-6,5-2D",2,195,35.238739,-115.798631,Rodriquez/Baughman,551,Live Plant,N/A,Grass,Poaceae,Grass,15,,,Red brome?,,,,,,,,,,,
19,"MJV4-15-BIO-VT-6,5-2D",2,195,35.238739,-115.798631,Rodriquez/Baughman,551,Live Plant,N/A,Hairy leaved comb bur,Boraginaceae,Pectocarya penicillata,1,,,Hairy Leaved Comb Bur,Y,,,,,,,,,,
20,"MJV4-15-BIO-VT-6,5-2E",2,196,35.238759,-115.798645,Rodriquez/Baughman,552,Gravel,N/A,Grass,Poaceae,Grass,13,17,3,Red brome?,,,,,,,,,,,
21,"MJV4-15-BIO-VT-6,5-2E",2,196,35.238759,-115.798645,Rodriquez/Baughman,552,Gravel,N/A,Mojave yucca,Agaveceae,Yucca schidigera,2,17,3,Mojave Yucca,Y,,,,,,,,,,
22,"MJV4-15-BIO-VT-6,5-2E",2,196,35.238759,-115.798645,Rodriquez/Baughman,552,Gravel,N/A,Lichen,Parmeliaceae,Bryoria,1,17,3,"black, brown",,,,,,,,,,,
23,"MJV4-15-BIO-VT-6,5-2E",2,196,35.238759,-115.798645,Rodriquez/Baughman,552,Gravel,N/A,Strigose lotus,Fabaceae,Acmispon strigosus,1,17,3,Strigose Lotus,Y,Unknown 22A,,,,,,,,,
24,"MJV4-15-BIO-VT-6,5-2F",2,197,35.238852,-115.798557,Rodriquez/Baughman,553,Gravel,N/A,Creosote,Zygophyllaceae,Larrea tridentata,1,11,4,Creosote,,,,,,,,,,,
25,"MJV4-15-BIO-VT-6,5-2F",2,197,35.238852,-115.798557,Rodriquez/Baughman,553,Gravel,N/A,Mojave yucca,Agaveceae,Yucca schidigera,1,11,4,Mojave Yucca,,,,,,,,,,,
26,"MJV4-15-BIO-VT-6,5-2F",2,197,35.238852,-115.798557,Rodriquez/Baughman,553,Gravel,N/A,Strigose lotus,Fabaceae,Acmispon strigosus,1,11,4,Strigose Lotus,Y,Unknown 22A,,,,,,,,,
27,"MJV4-15-BIO-VT-6,5-2F",2,197,35.238852,-115.798557,Rodriquez/Baughman,553,Gravel,N/A,Globe mallow,Malvaceae,Sphaeralcea ambigua,1,11,4,Globemallow,Y,,,,,,,,,,
28,"MJV4-15-BIO-VT-6,5-2F",2,197,35.238852,-115.798557,Rodriquez/Baughman,553,Gravel,N/A,Lichen,Parmeliaceae,Bryoria,1,11,4,"Brown, black",,,,,,,,,,,
29,"MJV4-15-BIO-VT-6,5-2G",2,198,35.238885,-115.798526,Rodriquez/Baughman,554,Rock,N/A,Mojave popcorn flower,Boraginaceae,Plagiobothrys jonesii,3,25,4,Desert Popcorn,Y,,,,,,,,,,
30,"MJV4-15-BIO-VT-6,5-2G",2,198,35.238885,-115.798526,Rodriquez/Baughman,554,Rock,N/A,Strigose lotus,Fabaceae,Acmispon strigosus,1,25,4,Strigose Lotus,Y,Unknown 22A,,,,,,,,,
31,"MJV4-15-BIO-VT-6,5-2G",2,198,35.238885,-115.798526,Rodriquez/Baughman,554,Rock,N/A,Hairy leaved comb bur,Boraginaceae,Pectocarya penicillata,1,25,4,Hairy Leaved Comb Bur,Y,Unknown 20A,,,,,,,,,
32,"MJV4-15-BIO-VT-6,5-2G",2,198,35.238885,-115.798526,Rodriquez/Baughman,554,Rock,N/A,Grass,Poaceae,Grass,19,25,4,Red brome?,,,,,,,,,,,
33,"MJV4-15-BIO-VT-6,5-2G",2,198,35.238885,-115.798526,Rodriquez/Baughman,554,Rock,N/A,Lichen,Parmeliaceae,Bryoria,1,25,4,"Black, brown",,,,,,,,,,,
34,"MJV4-15-BIO-VT-6,5-2H",2,199,35.238919,-115.798508,Rodriquez/Baughman,555,Live Plant,N/A,Buckhorn cholla,Cactaceae,Cylindropuntia acanthocarpa,1,8,6,Buckhorn Cholla,Y,,,,,,,,,,
35,"MJV4-15-BIO-VT-6,5-2H",2,199,35.238919,-115.798508,Rodriquez/Baughman,555,Live Plant,N/A,Mojave yucca,Agaveceae,Yucca schidigera,2,8,6,Yucca,Y,,,,,,,,,,
36,"MJV4-15-BIO-VT-6,5-2H",2,199,35.238919,-115.798508,Rodriquez/Baughman,555,Live Plant,N/A,Mojave popcorn flower,Boraginaceae,Plagiobothrys jonesii,1,8,6,Desert Popcorn,Y,,,,,,,,,,
37,"MJV4-15-BIO-VT-6,5-2H",2,199,35.238919,-115.798508,Rodriquez/Baughman,555,Live Plant,N/A,Hedgehog cactus,Cactaceae,Echinocereus engelmannii,1,8,6,Hedgehog Cactus,Y,,,,,,,,,,
38,"MJV4-15-BIO-VT-6,5-2H",2,199,35.238919,-115.798508,Rodriquez/Baughman,555,Live Plant,N/A,Strigose lotus,Fabaceae,Acmispon strigosus,1,8,6,Strigose Lotus,Y,,,,,,,,,,
39,"MJV4-15-BIO-VT-6,5-2H",2,199,35.238919,-115.798508,Rodriquez/Baughman,652?,Live Plant,N/A,Unknown 6A,Null ,Null,1,8,6,,,,,,,,,,,,
40,"MJV4-15-BIO-VT-6,5-2H",2,199,35.238919,-115.798508,Rodriquez/Baughman,555,Live Plant,N/A,Lichen,Parmeliaceae,Bryoria,1,8,6,"Brown, black",,,,,,,,,,,
41,"MJV4-15-BIO-VT-6,5-4A",2,200,35.238471,-115.798565,Rodriquez/Baughman,"6,5-4A",Rock,N/A,Unknown 23A,Null ,Null,2,7,5,,,,,,,,,,,,
42,"MJV4-15-BIO-VT-6,5-4A",2,200,35.238471,-115.798565,Rodriquez/Baughman,"6,5-4A",Rock,N/A,California cholla,Cactaceae,Cylindropuntia californica,2,7,5,,,,,,,,,,,,
43,"MJV4-15-BIO-VT-6,5-4A",2,200,35.238471,-115.798565,Rodriquez/Baughman,"6,5-4A",Rock,N/A,Unknown 20A,Null ,Null,1,7,5,,,,,,,,,,,,
44,"MJV4-15-BIO-VT-6,5-4A",2,200,35.238471,-115.798565,Rodriquez/Baughman,"6,5-4A",Rock,N/A,Desert nest straw,Asteraceae,Stylocline micropoides,1,7,5,Desert Nest Straw,Y,Unknown 24A,,,,,,,,,
45,"MJV4-15-BIO-VT-6,5-4A",2,200,35.238471,-115.798565,Rodriquez/Baughman,"6,5-4A",Rock,N/A,Grass,Poaceae,Grass,1,7,5,Red Brome?,,,,,,,,,,,
46,"MJV4-15-BIO-VT-6,5-4B",2,201,35.238435,-115.798587,Rodriquez/Baughman,"6,5-4B",Gravel,N/A,Unknown 6A,Null ,Null,1,18,9,,,,,,,,,,,,
47,"MJV4-15-BIO-VT-6,5-4B",2,201,35.238435,-115.798587,Rodriquez/Baughman,"6,5-4B",Gravel,N/A,Pepperweed,Brassicaceae,Lepidium densiflorum,2,18,9,Common Pepperweed,Y,Unknown 8A,,,,,,,,,
48,"MJV4-15-BIO-VT-6,5-4B",2,201,35.238435,-115.798587,Rodriquez/Baughman,"6,5-4B",Gravel,N/A,Desert nest straw,Asteraceae,Stylocline micropoides,1,18,9,Desert Nest Straw,Y,Unknown 24A,,,,,,,,,
49,"MJV4-15-BIO-VT-6,5-4B",2,201,35.238435,-115.798587,Rodriquez/Baughman,"6,5-4B",Gravel,N/A,Mojave popcorn flower,Boraginaceae,Plagiobothrys jonesii,1,18,9,Desert Popcorn,Y,,,,,,,,,,
50,"MJV4-15-BIO-VT-6,5-4B",2,201,35.238435,-115.798587,Rodriquez/Baughman,"6,5-4B",Gravel,N/A,Grass,Poaceae,Grass,9,18,9,Unknown 25A small brome little red,,,,,,,,,,,
51,"MJV4-15-BIO-VT-6,5-4B",2,201,35.238435,-115.798587,Rodriquez/Baughman,"6,5-4B",Gravel,N/A,Strigose lotus,Fabaceae,Acmispon strigosus,1,18,9,Strigose lotus,Y,Unknown 22A,,,,,,,,,
52,"MJV4-15-BIO-VT-6,5-4B",2,201,35.238435,-115.798587,Rodriquez/Baughman,"6,5-4B",Gravel,N/A,Grass,Poaceae,Grass,1,18,9,Red Brome?,,,,,,,,,,,
53,"MJV4-15-BIO-VT-6,5-4B",2,201,35.238435,-115.798587,Rodriquez/Baughman,"6,5-4B",Gravel,N/A,Hairy leaved comb bur,Boraginaceae,Pectocarya penicillata,1,18,9,Hairy Leaved Comb Bur,Y,Unknown 20A,,,,,,,,,
54,"MJV4-15-BIO-VT-6,5-4B",2,201,35.238435,-115.798587,Rodriquez/Baughman,"6,5-4B",Gravel,N/A,California cholla,Cactaceae,Cylindropuntia californica,1,18,9,bud,,,,,,,,,,,
55,"MJV4-15-BIO-VT-6,5-4C",2,202,35.238393,-115.798617,Rodriquez/Baughman,"6,5-4C",Gravel,N/A,Hairy leaved comb bur,Boraginaceae,Pectocarya penicillata,4,11,4,Hairy Leaved Comb Bur,Y,Unknown 20A,,,,,,,,,
56,"MJV4-15-BIO-VT-6,5-4C",2,202,35.238393,-115.798617,Rodriquez/Baughman,"6,5-4C",Gravel,N/A,Spiny herb,Polygonaceae,Chorizanthe rigida,1,11,4,bud,,,,,,,,,,,
57,"MJV4-15-BIO-VT-6,5-4C",2,202,35.238393,-115.798617,Rodriquez/Baughman,"6,5-4C",Gravel,N/A,Mojave popcorn flower,Boraginaceae,Plagiobothrys jonesii,2,11,4,Desert Popcorn,Y,,,,,,,,,,
58,"MJV4-15-BIO-VT-6,5-4C",2,202,35.238393,-115.798617,Rodriquez/Baughman,"6,5-4C",Gravel,N/A,Low woollygrass,Poaceae,Dasyochloa pulchella,2,11,4,Low woollygrass,Y,,,,,,,,,,
59,"MJV4-15-BIO-VT-6,5-4C",2,202,35.238393,-115.798617,Rodriquez/Baughman,"6,5-4C",Gravel,N/A,Lichen,Parmeliaceae,Bryoria,,11,4,Brown,,,,,,,,,,,
60,"MJV4-15-BIO-VT-6,5-4D",2,203,35.238351,-115.798630,Rodriquez/Baughman,"6,5-4D",Rock,N/A,Grass,Poaceae,Grass,3,6,3,Tufted brome?,,,,,,,,,,,
61,"MJV4-15-BIO-VT-6,5-4D",2,203,35.238351,-115.798630,Rodriquez/Baughman,"6,5-4D",Rock,N/A,Hairy leaved comb bur,Boraginaceae,Pectocarya penicillata,2,6,3,Hairy Leaved Comb Bur,Y,Unknown 20A,,,,,,,,,
62,"MJV4-15-BIO-VT-6,5-4D",2,203,35.238351,-115.798630,Rodriquez/Baughman,"6,5-4D",Rock,N/A,Pepperweed,Brassicaceae,Lepidium densiflorum,1,6,3,Common Pepperweed,Y,Unknown 8A,,,,,,,,,
63,"MJV4-15-BIO-VT-6,5-4E",2,204,35.238321,-115.798638,Rodriquez/Baughman,"6,5-4E",Gravel,N/A,Anderson thornbush,Solanaceae,Lycium andersonii,1,12,5,Thorn Bush,Y,,,,,,,,,,
64,"MJV4-15-BIO-VT-6,5-4E",2,204,35.238321,-115.798638,Rodriquez/Baughman,"6,5-4E",Gravel,N/A,Pencil Cholla,Cactaceae,Cylindropuntia ramosissima,1,12,5,,,,,,,,,,,,
65,"MJV4-15-BIO-VT-6,5-4E",2,204,35.238321,-115.798638,Rodriquez/Baughman,"6,5-4E",Gravel,N/A,Low woollygrass,Poaceae,Dasyochloa pulchella,4,12,5,Low Woollygrass,Y,,,,,,,,,,
66,"MJV4-15-BIO-VT-6,5-4E",2,204,35.238321,-115.798638,Rodriquez/Baughman,"6,5-4E",Gravel,N/A,Mojave popcorn flower,Boraginaceae,Plagiobothrys jonesii,3,12,5,Desert Popcorn,Y,,,,,,,,,,
67,"MJV4-15-BIO-VT-6,5-4E",2,204,35.238321,-115.798638,Rodriquez/Baughman,"6,5-4E",Gravel,N/A,Hairy leaved comb bur,Boraginaceae,Pectocarya penicillata,3,12,5,Hairy Leaved Comb Bur,Y,,,,,,,,,,
68,"MJV4-15-BIO-VT-6,5-4F",2,205,35.238300,-115.798655,Rodriquez/Baughman,"6,5-4F",Rock,N/A,Hedgehog cactus,Cactaceae,Echinocereus engelmannii,1,11,6,Hedgehog Cactus,Y,,,,,,,,,,
69,"MJV4-15-BIO-VT-6,5-4F",2,205,35.238300,-115.798655,Rodriquez/Baughman,"6,5-4F",Rock,N/A,Creosote,Zygophyllaceae,Larrea tridentata,1,11,6,Creosote,Y,,,,,,,,,,
70,"MJV4-15-BIO-VT-6,5-4F",2,205,35.238300,-115.798655,Rodriquez/Baughman,"6,5-4F",Rock,N/A,Hairy leaved comb bur,Boraginaceae,Pectocarya penicillata,5,11,6,Hairy Leaved Comb Bur,Y,,,,,,,,,,
71,"MJV4-15-BIO-VT-6,5-4F",2,205,35.238300,-115.798655,Rodriquez/Baughman,"6,5-4F",Rock,N/A,Pepperweed,Brassicaceae,Lepidium densiflorum,2,11,6,Common Pepperweed,Y,,,,,,,,,,
72,"MJV4-15-BIO-VT-6,5-4F",2,205,35.238300,-115.798655,Rodriquez/Baughman,"6,5-4F",Rock,N/A,Heron's bill,Geraniaceae,Erodium cicutarium,1,11,6,Pinweed,Y,Unknown 26A,,"Carroty leaves, flower w/ needle coming out . green, purple",,,,,,,
73,"MJV4-15-BIO-VT-6,5-4F",2,205,35.238300,-115.798655,Rodriquez/Baughman,"6,5-4F",Rock,N/A,Mormon tea,Ephedraceae,Ephedra viridis,1,11,6,Mormon Tea,Y,,,,,,,,,,
74,"MJV4-15-BIO-VT-6,5-4G",2,206,35.238286,-115.798710,Rodriquez/Baughman,"6,5-4G",Gravel,N/A,Mojave popcorn flower,Boraginaceae,Plagiobothrys jonesii,2,13,5,Desert Popcorn,Y,,,,,,,,,,
75,"MJV4-15-BIO-VT-6,5-4G",2,206,35.238286,-115.798710,Rodriquez/Baughman,"6,5-4G",Gravel,N/A,Low woollygrass,Poaceae,Dasyochloa pulchella,2,13,5,Low Woollygrass,Y,,,,,,,,,,
76,"MJV4-15-BIO-VT-6,5-4G",2,206,35.238286,-115.798710,Rodriquez/Baughman,"6,5-4G",Gravel,N/A,Hairy leaved comb bur,Boraginaceae,Pectocarya penicillata,7,13,5,Hairy Leaved Comb Bur,Y,Unknown 20A,,,,,,,,,
77,"MJV4-15-BIO-VT-6,5-4G",2,206,35.238286,-115.798710,Rodriquez/Baughman,"6,5-4G",Gravel,N/A,Strigose lotus,Fabaceae,Acmispon strigosus,1,13,5,Strigose Lotus,Y,Unknown 22a,,,,,,,,,
78,"MJV4-15-BIO-VT-6,5-4G",2,206,35.238286,-115.798710,Rodriquez/Baughman,"6,5-4G",Gravel,N/A,Pepperweed,Brassicaceae,Lepidium densiflorum,1,13,5,Common Pepperweed,Y,Unknown 8A,,,,,,,,,
79,"MJV4-15-BIO-VT-6,5-4H",2,207,35.238259,-115.798746,Rodriquez/Baughman,"6,5-4H",Gravel,N/A,Hairy leaved comb bur,Boraginaceae,Pectocarya penicillata,6,13,5,Hairy Leaved Comb Bur,Y,Unknown 20A,,,,,,,,,
80,"MJV4-15-BIO-VT-6,5-4H",2,207,35.238259,-115.798746,Rodriquez/Baughman,"6,5-4H",Gravel,N/A,Pepperweed,Brassicaceae,Lepidium densiflorum,1,13,5,Common Pepperweed,Y,Unknown 8A,,,,,,,,,
81,"MJV4-15-BIO-VT-6,5-4H",2,207,35.238259,-115.798746,Rodriquez/Baughman,"6,5-4H",Gravel,N/A,Mojave popcorn flower,Boraginaceae,Plagiobothrys jonesii,3,13,5,Desert Popcorn,Y,,,,,,,,,,
82,"MJV4-15-BIO-VT-6,5-4H",2,207,35.238259,-115.798746,Rodriquez/Baughman,"6,5-4H",Gravel,N/A,Low woollygrass,Poaceae,Dasyochloa pulchella,1,13,5,Low Woollygrass,Y,,,,,,,,,,
83,"MJV4-15-BIO-VT-6,5-4H",2,207,35.238259,-115.798746,Rodriquez/Baughman,"6,5-4H",Gravel,N/A,Desert nest straw,Asteraceae,Stylocline micropoides,1,13,5,Desert Nest Straw,Y,,,,,,,,,,
84,"MJV4-15-BIO-VT-6,5-4H",2,207,35.238259,-115.798746,Rodriquez/Baughman,"6,5-4H",Gravel,N/A,Lichen,Parmeliaceae,Bryoria,1,13,5,"Red, white",,,,,,,,,,,
85,"MJV4-15-BIO-VT-6,5-4I",2,208,35.238228,-115.798773,Rodriquez/Baughman,"6,5-4I",Rock,N/A,Desert trumpet,Polygonaceae,Eriogonum inflatum,2,4,3,Desert Trumpet,Y,,,,,,,,,,
86,"MJV4-15-BIO-VT-6,5-4I",2,208,35.238228,-115.798773,Rodriquez/Baughman,"6,5-4I",Rock,N/A,Heron's bill,Geraniaceae,Erodium cicutarium,1,4,3,Pinweed,Y,Unknown 26A,,,,,,,,,
87,"MJV4-15-BIO-VT-6,5-4I",2,208,35.238228,-115.798773,Rodriquez/Baughman,"6,5-4I",Rock,N/A,Pepperweed,Brassicaceae,Lepidium densiflorum,1,4,3,Common Pepperweed,Y,Unknown 8A,,,,,,,,,
88,"MJV4-15-BIO-VT-6,5-4J",2,209,35.238197,-115.798795,Rodriquez/Baughman,"6,5-4J",Rock,N/A,Desert trumpet,Polygonaceae,Eriogonum inflatum,4,,,Desert trumpet,Y,,,,,,,,,,
89,"MJV4-15-BIO-VT-6,5-4J",2,209,35.238197,-115.798795,Rodriquez/Baughman,"6,5-4J",Rock,N/A,Mojave popcorn flower,Boraginaceae,Plagiobothrys jonesii,2,,,Desert Popcorn,Y,,,,,,,,,,
90,"MJV4-15-BIO-VT-6,5-4J",2,209,35.238197,-115.798795,Rodriquez/Baughman,"6,5-4J",Rock,N/A,Creosote,Zygophyllaceae,Larrea tridentata,1,,,Creosote,Y,,,,,,,,,,
91,"MJV4-15-BIO-VT-6,5-4J",2,209,35.238197,-115.798795,Rodriquez/Baughman,"6,5-4J",Rock,N/A,Strigose lotus,Fabaceae,Acmispon strigosus,1,,,Strigose Lotus,Y,Unknown 22A,,,,,,,,,
92,"MJV4-15-BIO-VT-6,5-4J",2,209,35.238197,-115.798795,Rodriquez/Baughman,"6,5-4J",Rock,N/A,Hairy leaved comb bur,Boraginaceae,Pectocarya penicillata,2,,,Hairy Leaved Comb Bur,Y,Unknown 20A,,,,,,,,,
93,"MJV4-15-BIO-VT-6,5-6A",2,210,35.238406,-115.798336,Rodriquez/Baughman,"6,5-6A",Live Plant,N/A,Globe mallow,Malvaceae,Sphaeralcea ambigua,2,,,Globemallow,Y,,,,,,,,,,
94,"MJV4-15-BIO-VT-6,5-6A",2,210,35.238406,-115.798336,Rodriquez/Baughman,"6,5-6A",Live Plant,N/A,Bladderpod,Cleomaceae,Peritoma arborea,1,,,Bladderpod,Y,,,,,,,,,,
95,"MJV4-15-BIO-VT-6,5-6A",2,210,35.238406,-115.798336,Rodriquez/Baughman,"6,5-6A",Live Plant,N/A,Desert tobacco,Solanaceae,Nicotiana obtusifolia,1,,,"green flat spade shaped leaves, fuzzy with sticky film, flower podd stickier than leaves",,,,,,,,,,,
96,"MJV4-15-BIO-VT-6,5-6A",2,210,35.238406,-115.798336,Rodriquez/Baughman,"6,5-6A",Live Plant,N/A,Grass,Poaceae,Grass,32,,,Red brome?,,,,,,,,,,,
97,"MJV4-15-BIO-VT-6,5-6A",2,210,35.238406,-115.798336,Rodriquez/Baughman,"6,5-6A",Live Plant,N/A,Low woollygrass,Poaceae,Dasyochloa pulchella,2,,,Low Woollygrass,Y,Unknown 23A,,,,,,,,,
98,"MJV4-15-BIO-VT-6,5-6B",2,211,35.238471,-115.798303,Rodriquez/Baughman,"6,5-6B",Gravel,N/A,White bursage,Asteraceae,Ambrosia dumosa,3,,,"pale green, many lobed leaves, yellow flowers, smells mustard",,,,,,,,,,,
99,"MJV4-15-BIO-VT-6,5-6B",2,211,35.238471,-115.798303,Rodriquez/Baughman,"6,5-6B",Gravel,N/A,Desert nest straw,Asteraceae,Stylocline micropoides,4,,,Desert Nest Straw,Y,,,,,,,,,,
100,"MJV4-15-BIO-VT-6,5-6B",2,211,35.238471,-115.798303,Rodriquez/Baughman,"6,5-6B",Gravel,N/A,Mojave popcorn flower,Boraginaceae,Plagiobothrys jonesii,3,,,Desert Popcorn,Y,,,,,,,,,,
101,"MJV4-15-BIO-VT-6,5-6B",2,211,35.238471,-115.798303,Rodriquez/Baughman,"6,5-6B",Gravel,N/A,Low woollygrass,Poaceae,Dasyochloa pulchella,2,,,Low Woollygrass,Y,,,,,,,,,,
102,"MJV4-15-BIO-VT-6,5-6B",2,211,35.238471,-115.798303,Rodriquez/Baughman,"6,5-6B",Gravel,N/A,Pepperweed,Brassicaceae,Lepidium densiflorum,2,,,Common Pepperweed,Y,,,,,,,,,,
103,"MJV4-15-BIO-VT-6,5-6B",2,211,35.238471,-115.798303,Rodriquez/Baughman,"6,5-6B",Gravel,N/A,Hairy leaved comb bur,Boraginaceae,Pectocarya penicillata,3,,,Hairy Leaved Comb Bur,Y,,,,,,,,,,
104,"MJV4-15-BIO-VT-6,5-6B",2,211,35.238471,-115.798303,Rodriquez/Baughman,"6,5-6B",Gravel,N/A,Grass,Poaceae,Grass,2,,,Red brome?,,,,,,,,,,,
105,"MJV4-15-BIO-VT-6,5-6B",2,211,35.238471,-115.798303,Rodriquez/Baughman,"6,5-6B",Gravel,N/A,Strigose lotus,Fabaceae,Acmispon strigosus,1,,,Strigose Lotus,Y,Unknown 22a,,,,,,,,,
106,"MJV4-15-BIO-VT-6,5-6B",2,211,35.238471,-115.798303,Rodriquez/Baughman,"6,5-6B",Gravel,N/A,Notch-leaved phacelia,Boraginaceae,Phacelia crenulata,1,,,"large pale green w/red outline leaves. red stem, flower buds same color, sticky",,,,,,,,,,,
107,"MJV4-15-BIO-VT-6,5-6C",2,212,35.238466,-115.798303,Rodriquez/Baughman,"6,5-6C",Gravel,N/A,Lichen,Parmeliaceae,Bryoria,,,,"black, brown",,,,,,,,,,,
108,"MJV4-15-BIO-VT-6,5-6C",2,212,35.238466,-115.798303,Rodriquez/Baughman,"6,5-6C",Gravel,N/A,Grass,Poaceae,Grass,14,,,red brome?,,,,,,,,,,,
109,"MJV4-15-BIO-VT-6,5-6C",2,212,35.238466,-115.798303,Rodriquez/Baughman,"6,5-6C",Gravel,N/A,Mojave popcorn flower,Boraginaceae,Plagiobothrys jonesii,3,,,Desert Popcorn,Y,,,,,,,,,,
110,"MJV4-15-BIO-VT-6,5-6C",2,212,35.238466,-115.798303,Rodriquez/Baughman,"6,5-6C",Gravel,N/A,Hairy leaved comb bur,Boraginaceae,Pectocarya penicillata,1,,,Hairy Leaved Comb Bur,Y,Unknown 20A,,,,,,,,,
111,"MJV4-15-BIO-VT-6,5-6C",2,212,35.238466,-115.798303,Rodriquez/Baughman,"6,5-6C",Gravel,N/A,Buckhorn cholla,Cactaceae,Cylindropuntia acanthocarpa,1,,,,,,,,,,,,,,
112,"MJV4-15-BIO-VT-6,5-6C",2,212,35.238466,-115.798303,Rodriquez/Baughman,"6,5-6C",Gravel,N/A,Low woollygrass,Poaceae,Dasyochloa pulchella,2,,,Low Woolygrass,Y,,,,,,,,,,
113,"MJV4-15-BIO-VT-6,5-6C",2,212,35.238466,-115.798303,Rodriquez/Baughman,"6,5-6C",Gravel,N/A,Desert nest straw,Asteraceae,Stylocline micropoides,1,,,White flower ball,,,,,,,,,,,
114,"MJV4-15-BIO-VT-6,5-6C",2,212,35.238466,-115.798303,Rodriquez/Baughman,"6,5-6C",Gravel,N/A,Mojave rabbitbush,Asteraceae,Ericameria paniculata,1,,,,,,,,,,,,,,
115,"MJV4-15-BIO-VT-6,5-6D",2,213,35.238511,-115.798154,Rodriquez/Baughman,"6,5-6D",Gravel,N/A,Grass,Poaceae,Grass,8,,,Red brome?,,,,,,,,,,,
